country,total cases,total deaths,total recovered,active cases,,,,,,,,,,,,,,,,,,,,
us,"6,44,089","28,529","48,708","5,66,852",,,,,,,,,,,,,,,,,,,,
Spain,"1,80,659","18,812","70,853","90,994",,,,,,,,,,,,,,,,,,,,
Italy,"1,65,155","21,645","38,092","1,05,418",,,,,,,,,,,,,,,,,,,,
France,"1,47,863","17,167","30,955","99,741",,,,,,,,,,,,,,,,,,,,
Germany,"1,34,753","3,804","72,600","58,349",,,,,,,,,,,,,,,,,,,,
UK,"98,476","12,868",N/A,"85,264",,,,,,,,,,,,,,,,,,,,
China,"82,341","3,342","77,892","1,107",,,,,,,,,,,,,,,,,,,,
Iran,"76,389","4,777","49,933","21,679",,,,,,,,,,,,,,,,,,,,
Turkey,"69,392","1,518","5,674","62,200",,,,,,,,,,,,,,,,,,,,
Belgium,"33,573","4,440","7,107","22,026",,,,,,,,,,,,,,,,,,,,
Brazil,"28,912","1,760","14,026","13,126",,,,,,,,,,,,,,,,,,,,
Canada,"28,379","1,010","8,979","18,390",,,,,,,,,,,,,,,,,,,,
Netherlands,"28,153","3,134",250,"24,769",,,,,,,,,,,,,,,,,,,,
Switzerland,"26,336","1,239","15,400","9,697",,,,,,,,,,,,,,,,,,,,
Russia,"24,490",198,"1,986","22,306",,,,,,,,,,,,,,,,,,,,
Portugal,"18,091",599,383,"17,109",,,,,,,,,,,,,,,,,,,,
Austria,"14,350",393,"8,098","5,859",,,,,,,,,,,,,,,,,,,,
Ireland,"12,547",444,77,"12,026",,,,,,,,,,,,,,,,,,,,
Israel,"12,501",130,"2,563","9,808",,,,,,,,,,,,,,,,,,,,
India,"12,380",422,"1,508","10,450",,,,,,,,,,,,,,,,,,,,
Sweden,"11,927","1,203",381,"10,343",,,,,,,,,,,,,,,,,,,,
Peru,"11,475",254,"3,108","8,113",,,,,,,,,,,,,,,,,,,,
S. Korea,"10,613",229,"7,757","2,627",,,,,,,,,,,,,,,,,,,,
Japan,"8,626",178,901,"7,547",,,,,,,,,,,,,,,,,,,,
Chile,"8,273",94,"2,937","5,242",,,,,,,,,,,,,,,,,,,,
Ecuador,"7,858",388,780,"6,690",,,,,,,,,,,,,,,,,,,,
Poland,"7,582",286,668,"6,628",,,,,,,,,,,,,,,,,,,,
Romania,"7,216",372,"1,217","5,627",,,,,,,,,,,,,,,,,,,,
Norway,"6,798",150,32,"6,616",,,,,,,,,,,,,,,,,,,,
Denmark,"6,681",309,"2,748","3,624",,,,,,,,,,,,,,,,,,,,
Australia,"6,462",63,"3,702","2,697",,,,,,,,,,,,,,,,,,,,
Pakistan,"6,383",111,"1,446","4,826",,,,,,,,,,,,,,,,,,,,
Czechia,"6,301",166,819,"5,316",,,,,,,,,,,,,,,,,,,,
Saudi Arabia,"5,862",79,931,"4,852",,,,,,,,,,,,,,,,,,,,
Mexico,"5,847",449,"2,125","3,273",,,,,,,,,,,,,,,,,,,,
Philippines,"5,453",349,353,"4,751",,,,,,,,,,,,,,,,,,,,
UAE,"5,365",33,"1,034","4,298",,,,,,,,,,,,,,,,,,,,
Indonesia,"5,136",469,446,"4,221",,,,,,,,,,,,,,,,,,,,
Malaysia,"5,072",83,"2,647","2,342",,,,,,,,,,,,,,,,,,,,
Serbia,"4,873",99,400,"4,374",,,,,,,,,,,,,,,,,,,,
Ukraine,"3,764",108,143,"3,513",,,,,,,,,,,,,,,,,,,,
Panama,"3,751",103,75,"3,573",,,,,,,,,,,,,,,,,,,,
Belarus,"3,728",36,203,"3,489",,,,,,,,,,,,,,,,,,,,
Qatar,"3,711",7,406,"3,298",,,,,,,,,,,,,,,,,,,,
Singapore,"3,699",10,652,"3,037",,,,,,,,,,,,,,,,,,,,
Dominican Republic,"3,614",189,208,"3,217",,,,,,,,,,,,,,,,,,,,
Luxembourg,"3,373",69,526,"2,778",,,,,,,,,,,,,,,,,,,,
Finland,"3,237",72,300,"2,865",,,,,,,,,,,,,,,,,,,,
Colombia,"3,105",131,452,"2,522",,,,,,,,,,,,,,,,,,,,
Thailand,"2,643",43,"1,497","1,103",,,,,,,,,,,,,,,,,,,,
Argentina,"2,571",112,596,"1,863",,,,,,,,,,,,,,,,,,,,
South Africa,"2,506",34,410,"2,062",,,,,,,,,,,,,,,,,,,,
Egypt,"2,505",183,589,"1,733",,,,,,,,,,,,,,,,,,,,
Greece,"2,192",102,269,"1,821",,,,,,,,,,,,,,,,,,,,
Algeria,"2,160",336,708,"1,116",,,,,,,,,,,,,,,,,,,,
Moldova,"2,049",46,171,"1,832",,,,,,,,,,,,,,,,,,,,
Morocco,"2,024",127,229,"1,668",,,,,,,,,,,,,,,,,,,,
Croatia,"1,741",33,473,"1,235",,,,,,,,,,,,,,,,,,,,
Iceland,"1,727",8,"1,077",642,,,,,,,,,,,,,,,,,,,,
Bahrain,"1,671",7,663,"1,001",,,,,,,,,,,,,,,,,,,,
Hungary,"1,579",134,192,"1,253",,,,,,,,,,,,,,,,,,,,
Iraq,"1,415",79,812,524,,,,,,,,,,,,,,,,,,,,
Kuwait,"1,405",3,206,"1,196",,,,,,,,,,,,,,,,,,,,
New Zealand,"1,401",9,770,622,,,,,,,,,,,,,,,,,,,,
Estonia,"1,400",35,117,"1,248",,,,,,,,,,,,,,,,,,,,
Uzbekistan,"1,302",4,107,"1,191",,,,,,,,,,,,,,,,,,,,
Kazakhstan,"1,295",16,240,"1,039",,,,,,,,,,,,,,,,,,,,
Azerbaijan,"1,253",13,404,836,,,,,,,,,,,,,,,,,,,,
Slovenia,"1,248",61,165,"1,022",,,,,,,,,,,,,,,,,,,,
Bangladesh,"1,231",50,49,"1,132",,,,,,,,,,,,,,,,,,,,
Armenia,"1,111",17,297,797,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,"1,110",41,253,816,,,,,,,,,,,,,,,,,,,,
Lithuania,"1,091",30,138,923,,,,,,,,,,,,,,,,,,,,
Hong Kong,"1,017",4,459,554,,,,,,,,,,,,,,,,,,,,
North Macedonia,974,45,98,831,,,,,,,,,,,,,,,,,,,,
Oman,910,4,131,775,,,,,,,,,,,,,,,,,,,,
Slovakia,863,6,151,706,,,,,,,,,,,,,,,,,,,,
Cameroon,848,17,165,666,,,,,,,,,,,,,,,,,,,,
Cuba,814,24,151,639,,,,,,,,,,,,,,,,,,,,
Afghanistan,784,25,43,716,,,,,,,,,,,,,,,,,,,,
Tunisia,780,35,43,702,,,,,,,,,,,,,,,,,,,,
Bulgaria,747,36,105,606,,,,,,,,,,,,,,,,,,,,
Cyprus,715,12,65,638,,,,,,,,,,,,,,,,,,,,
Diamond Princess,712,12,644,56,,,,,,,,,,,,,,,,,,,,
Andorra,673,33,169,471,,,,,,,,,,,,,,,,,,,,
Latvia,666,5,44,617,,,,,,,,,,,,,,,,,,,,
Lebanon,658,21,85,552,,,,,,,,,,,,,,,,,,,,
Ivory Coast,654,6,146,502,,,,,,,,,,,,,,,,,,,,
Ghana,641,8,83,550,,,,,,,,,,,,,,,,,,,,
Costa Rica,626,4,67,555,,,,,,,,,,,,,,,,,,,,
Niger,584,14,90,480,,,,,,,,,,,,,,,,,,,,
Burkina Faso,542,32,226,284,,,,,,,,,,,,,,,,,,,,
Albania,494,25,251,218,,,,,,,,,,,,,,,,,,,,
Uruguay,493,9,272,212,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,449,5,78,366,,,,,,,,,,,,,,,,,,,,
Channel Islands,447,15,69,363,,,,,,,,,,,,,,,,,,,,
Bolivia,441,29,14,398,,,,,,,,,,,,,,,,,,,,
Djibouti,435,2,71,362,,,,,,,,,,,,,,,,,,,,
Honduras,426,35,9,382,,,,,,,,,,,,,,,,,,,,
Nigeria,407,12,128,267,,,,,,,,,,,,,,,,,,,,
Guinea,404,1,31,372,,,,,,,,,,,,,,,,,,,,
Jordan,401,7,250,144,,,,,,,,,,,,,,,,,,,,
Malta,399,3,44,352,,,,,,,,,,,,,,,,,,,,
Taiwan,395,6,137,252,,,,,,,,,,,,,,,,,,,,
San Marino,393,36,53,304,,,,,,,,,,,,,,,,,,,,
Réunion,391,,237,154,,,,,,,,,,,,,,,,,,,,
Palestine,374,2,63,309,,,,,,,,,,,,,,,,,,,,
Mauritius,324,9,65,250,,,,,,,,,,,,,,,,,,,,
Senegal,314,2,190,122,,,,,,,,,,,,,,,,,,,,
Georgia,306,3,71,232,,,,,,,,,,,,,,,,,,,,
Montenegro,288,4,55,229,,,,,,,,,,,,,,,,,,,,
Vietnam,268,,171,97,,,,,,,,,,,,,,,,,,,,
Isle of Man,256,4,151,101,,,,,,,,,,,,,,,,,,,,
DRC,254,21,21,212,,,,,,,,,,,,,,,,,,,,
Sri Lanka,238,7,63,168,,,,,,,,,,,,,,,,,,,,
Kenya,225,10,53,162,,,,,,,,,,,,,,,,,,,,
Mayotte,217,3,69,145,,,,,,,,,,,,,,,,,,,,
Venezuela,197,9,111,77,,,,,,,,,,,,,,,,,,,,
Guatemala,196,5,19,172,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,184,,166,18,,,,,,,,,,,,,,,,,,,,
Paraguay,174,8,30,136,,,,,,,,,,,,,,,,,,,,
El Salvador,159,6,30,123,,,,,,,,,,,,,,,,,,,,
Martinique,158,8,73,77,,,,,,,,,,,,,,,,,,,,
Mali,148,13,34,101,,,,,,,,,,,,,,,,,,,,
Guadeloupe,145,8,67,70,,,,,,,,,,,,,,,,,,,,
Brunei,136,1,108,27,,,,,,,,,,,,,,,,,,,,
Rwanda,136,,54,82,,,,,,,,,,,,,,,,,,,,
Gibraltar,131,,104,27,,,,,,,,,,,,,,,,,,,,
Jamaica,125,5,21,99,,,,,,,,,,,,,,,,,,,,
Cambodia,122,,98,24,,,,,,,,,,,,,,,,,,,,
Congo,117,5,11,101,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,114,8,20,86,,,,,,,,,,,,,,,,,,,,
Madagascar,110,,29,81,,,,,,,,,,,,,,,,,,,,
Monaco,93,3,12,78,,,,,,,,,,,,,,,,,,,,
Aruba,93,1,39,53,,,,,,,,,,,,,,,,,,,,
Tanzania,88,4,11,73,,,,,,,,,,,,,,,,,,,,
French Guiana,86,,51,35,,,,,,,,,,,,,,,,,,,,
Myanmar,85,4,2,79,,,,,,,,,,,,,,,,,,,,
Ethiopia,85,3,15,67,,,,,,,,,,,,,,,,,,,,
Bermuda,81,5,33,43,,,,,,,,,,,,,,,,,,,,
Togo,81,3,35,43,,,,,,,,,,,,,,,,,,,,
Somalia,80,5,2,73,,,,,,,,,,,,,,,,,,,,
Gabon,80,1,4,75,,,,,,,,,,,,,,,,,,,,
Liechtenstein,79,1,55,23,,,,,,,,,,,,,,,,,,,,
Barbados,75,5,15,55,,,,,,,,,,,,,,,,,,,,
Cayman Islands,60,1,6,53,,,,,,,,,,,,,,,,,,,,
Liberia,59,6,4,49,,,,,,,,,,,,,,,,,,,,
Cabo Verde,56,1,1,54,,,,,,,,,,,,,,,,,,,,
Guyana,55,6,8,41,,,,,,,,,,,,,,,,,,,,
French Polynesia,55,,,55,,,,,,,,,,,,,,,,,,,,
Uganda,55,,12,43,,,,,,,,,,,,,,,,,,,,
Sint Maarten,53,9,5,39,,,,,,,,,,,,,,,,,,,,
Bahamas,53,8,6,39,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,51,,4,47,,,,,,,,,,,,,,,,,,,,
Zambia,48,2,30,16,,,,,,,,,,,,,,,,,,,,
Libya,48,1,11,36,,,,,,,,,,,,,,,,,,,,
Macao,45,,15,30,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,43,,,43,,,,,,,,,,,,,,,,,,,,
Haiti,41,3,,38,,,,,,,,,,,,,,,,,,,,
Saint Martin,35,2,13,20,,,,,,,,,,,,,,,,,,,,
Benin,35,1,18,16,,,,,,,,,,,,,,,,,,,,
Eritrea,35,,,35,,,,,,,,,,,,,,,,,,,,
Syria,33,2,5,26,,,,,,,,,,,,,,,,,,,,
Sudan,32,5,4,23,,,,,,,,,,,,,,,,,,,,
Mongolia,31,,5,26,,,,,,,,,,,,,,,,,,,,
Mozambique,29,,2,27,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,23,3,3,17,,,,,,,,,,,,,,,,,,,,
Zimbabwe,23,3,1,19,,,,,,,,,,,,,,,,,,,,
Chad,23,,2,21,,,,,,,,,,,,,,,,,,,,
Maldives,23,,16,7,,,,,,,,,,,,,,,,,,,,
Angola,19,2,5,12,,,,,,,,,,,,,,,,,,,,
Laos,19,,1,18,,,,,,,,,,,,,,,,,,,,
Belize,18,2,,16,,,,,,,,,,,,,,,,,,,,
New Caledonia,18,,1,17,,,,,,,,,,,,,,,,,,,,
Malawi,16,2,,14,,,,,,,,,,,,,,,,,,,,
Nepal,16,,1,15,,,,,,,,,,,,,,,,,,,,
Dominica,16,,8,8,,,,,,,,,,,,,,,,,,,,
Fiji,16,,,16,,,,,,,,,,,,,,,,,,,,
Namibia,16,,3,13,,,,,,,,,,,,,,,,,,,,
Saint Lucia,15,,11,4,,,,,,,,,,,,,,,,,,,,
Eswatini,15,,8,7,,,,,,,,,,,,,,,,,,,,
Curaçao,14,1,10,3,,,,,,,,,,,,,,,,,,,,
Grenada,14,,,14,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,14,,,14,,,,,,,,,,,,,,,,,,,,
Botswana,13,1,,12,,,,,,,,,,,,,,,,,,,,
Sierra Leone,13,,,13,,,,,,,,,,,,,,,,,,,,
CAR,12,,4,8,,,,,,,,,,,,,,,,,,,,
St. Vincent Grenadines,12,,1,11,,,,,,,,,,,,,,,,,,,,
Falkland Islands,11,,1,10,,,,,,,,,,,,,,,,,,,,
Greenland,11,,11,0,,,,,,,,,,,,,,,,,,,,
Montserrat,11,,1,10,,,,,,,,,,,,,,,,,,,,
Seychelles,11,,,11,,,,,,,,,,,,,,,,,,,,
Suriname,10,1,6,3,,,,,,,,,,,,,,,,,,,,
Turks and Caicos,10,1,,9,,,,,,,,,,,,,,,,,,,,
MS Zaandam,9,2,,7,,,,,,,,,,,,,,,,,,,,
Gambia,9,1,2,6,,,,,,,,,,,,,,,,,,,,
Nicaragua,9,1,4,4,,,,,,,,,,,,,,,,,,,,
Vatican City,8,,2,6,,,,,,,,,,,,,,,,,,,,
Timor-Leste,8,,1,7,,,,,,,,,,,,,,,,,,,,
Mauritania,7,1,2,4,,,,,,,,,,,,,,,,,,,,
St. Barth,6,,4,2,,,,,,,,,,,,,,,,,,,,
Western Sahara,6,,,6,,,,,,,,,,,,,,,,,,,,
Burundi,5,1,,4,,,,,,,,,,,,,,,,,,,,
Bhutan,5,,2,3,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,4,,,4,,,,,,,,,,,,,,,,,,,,
South Sudan,4,,,4,,,,,,,,,,,,,,,,,,,,
Anguilla,3,,1,2,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,3,,2,1,,,,,,,,,,,,,,,,,,,,
Caribbean Netherlands,3,,,3,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,2,,,2,,,,,,,,,,,,,,,,,,,,
Saint Pierre Miquelon,1,,,1,,,,,,,,,,,,,,,,,,,,
Yemen,1,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
